City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
119,Calumpang,PH,2022-07-28 03:45:08,14.6228,121.0897,90.01,71,75,13.8
120,Orange Cove,US,2022-07-28 03:45:09,36.6244,-119.3137,94.66,25,75,3.44
121,Alta Floresta,BR,2022-07-28 03:45:09,-9.8756,-56.0861,68.04,46,0,2.64
122,Katsuura,JP,2022-07-28 03:44:17,35.1333,140.3,83.41,78,56,11.65
123,Igrim,RU,2022-07-28 03:45:10,63.1906,64.4162,68.04,49,2,3.74
124,Hasaki,JP,2022-07-28 03:45:10,35.7333,140.8333,97.29,78,77,15.95
125,San Cristobal,VE,2022-07-28 03:45:10,7.7669,-72.225,68.18,94,52,2.19
126,Arlit,NE,2022-07-28 03:45:11,18.7369,7.3853,85.42,50,84,20.33
127,Campbell River,CA,2022-07-28 03:42:02,50.0163,-125.2446,83.73,61,20,4.61
128,Cherskiy,RU,2022-07-28 03:42:56,68.75,161.3,55.31,47,99,6.15
129,Waingapu,ID,2022-07-28 03:45:11,-9.6567,120.2641,83.93,55,52,20.07
130,New Norfolk,AU,2022-07-28 03:45:12,-42.7826,147.0587,52.72,70,97,3.0
131,Guaimaro,CU,2022-07-28 03:45:12,21.05,-77.35,75.94,90,77,10.25
132,Tiksi,RU,2022-07-28 03:45:12,71.6872,128.8694,70.43,56,90,7.54
133,Faanui,PF,2022-07-28 03:45:13,-16.4833,-151.75,78.6,76,14,25.39
134,Ternate,ID,2022-07-28 03:45:13,0.8,127.4,83.62,73,97,3.87
135,Road Town,VG,2022-07-28 03:45:13,18.4167,-64.6167,80.69,72,0,20.22
136,Lagoa,PT,2022-07-28 03:45:14,39.05,-27.9833,71.13,81,0,7.27
137,Tasiilaq,GL,2022-07-28 03:44:01,65.6145,-37.6368,41.16,96,92,5.53
138,San Policarpo,PH,2022-07-28 03:46:14,12.1791,125.5072,86.4,74,100,7.85
139,Hofn,IS,2022-07-28 03:46:15,64.2539,-15.2082,52.68,98,100,18.99
140,Codajas,BR,2022-07-28 03:46:15,-3.8367,-62.0569,78.67,60,85,1.61
141,Arraial Do Cabo,BR,2022-07-28 03:46:15,-22.9661,-42.0278,67.96,83,0,8.05
142,Saint-Augustin,CA,2022-07-28 03:46:16,51.226,-58.6502,56.32,89,58,8.99
