City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
133,Kitgum,UG,3.2783,32.8867,66.29,93,90,1.66,overcast clouds
134,Kieta,PG,-6.2167,155.6333,81.99,76,91,4.56,light rain
135,Rawson,AR,-43.3002,-65.1023,46.36,58,1,12.21,clear sky
136,Shimoda,JP,34.6667,138.95,88.16,73,2,10.38,clear sky
137,Sao Joao Da Barra,BR,-21.6403,-41.0511,68.58,81,10,13.2,clear sky
138,Iqaluit,CA,63.7506,-68.5145,49.73,76,75,3.44,broken clouds
139,Vao,NC,-22.6667,167.4833,69.57,67,43,12.21,scattered clouds
140,Hovd,MN,48.0056,91.6419,75.16,27,30,7.7,scattered clouds
141,Hithadhoo,MV,-0.6,73.0833,81.7,74,100,14.29,overcast clouds
142,Ahipara,NZ,-35.1667,173.1667,57.54,76,39,5.17,scattered clouds
143,Loma Alta,HN,15.3967,-88.5597,74.16,99,63,0.78,broken clouds
144,Extremoz,BR,-5.7056,-35.3072,73.4,100,20,4.61,few clouds
145,Isangel,VU,-19.55,169.2667,74.21,89,100,10.16,light rain
146,Cape Town,ZA,-33.9258,18.4232,57.88,84,75,19.57,moderate rain
147,Maragogi,BR,-9.0122,-35.2225,72.64,89,48,1.36,scattered clouds
148,Tahta,EG,26.7693,31.5021,86.81,16,28,5.77,scattered clouds
149,Lompoc,US,34.6391,-120.4579,61.02,89,100,7.0,mist
150,Kupang,ID,-10.1667,123.5833,83.61,53,88,3.91,overcast clouds
151,Rio Grande,BR,-32.035,-52.0986,49.95,80,60,19.3,broken clouds
152,Santa Rosa,PH,14.3122,121.1114,90.09,73,96,11.25,overcast clouds
153,Khandbari,NP,27.3747,87.2039,80.08,79,86,3.98,overcast clouds
154,Redmond,US,47.674,-122.1215,80.53,67,1,4.14,clear sky
155,Puerto Del Rosario,ES,28.5004,-13.8627,73.15,78,75,19.57,broken clouds
156,Comodoro Rivadavia,AR,-45.8667,-67.5,51.66,50,100,29.93,overcast clouds
157,Necochea,AR,-38.5473,-58.7368,41.27,91,25,9.71,scattered clouds
158,Coquimbo,CL,-29.9533,-71.3436,51.53,93,0,2.3,clear sky
159,Saldanha,ZA,-33.0117,17.9442,55.45,82,74,21.99,broken clouds
160,Sigli,ID,5.3848,95.9609,82.44,74,93,5.12,overcast clouds
161,Walvis Bay,NA,-22.9575,14.5053,43.75,87,0,4.61,clear sky
162,Castro,BR,-24.7911,-50.0119,59.61,66,80,5.75,broken clouds
163,Traiguen,CL,-38.25,-72.6833,38.75,99,4,4.41,clear sky
164,Shenjiamen,CN,29.9576,122.298,84.36,79,34,9.69,moderate rain
165,Praia,CV,14.9215,-23.5087,79.34,69,20,11.5,few clouds
166,Jamestown,US,42.097,-79.2353,69.39,71,0,8.01,clear sky
167,Katsuura,JP,35.1333,140.3,84.6,77,16,13.78,few clouds
168,New Norfolk,AU,-42.7826,147.0587,49.71,74,82,1.01,broken clouds
169,Paita,PE,-5.0892,-81.1144,61.9,86,9,10.6,clear sky
170,Fortuna,US,40.5982,-124.1573,59.94,91,100,5.75,overcast clouds
171,Talnakh,RU,69.4865,88.3972,69.21,45,0,11.68,clear sky
172,Atuona,PF,-9.8,-139.0333,77.52,75,29,23.98,light rain
173,Port Elizabeth,ZA,-33.918,25.5701,61.09,85,0,38.99,clear sky
174,Naryan-Mar,RU,67.6713,53.087,69.66,70,76,5.82,broken clouds
175,Barrow,US,71.2906,-156.7887,33.82,100,100,13.8,mist
176,Avarua,CK,-21.2078,-159.775,75.25,83,75,14.97,broken clouds
177,Puerto Montt,CL,-41.4698,-72.9447,34.63,100,20,0.0,mist
