City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
662,Tiarei,PF,78.82,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
663,Celestun,MX,80.37,overcast clouds,20.8667,-90.4,Posada Lilia
664,Ambilobe,MG,80.67,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
665,San Angelo,US,89.82,clear sky,31.4638,-100.437,"Motel 6 San Angelo, TX"
667,Matara,LK,84.24,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
672,Nhulunbuy,AU,79.41,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
678,Kavieng,PG,83.62,broken clouds,-2.5744,150.7967,Nusa Island Retreat
681,Naze,JP,79.72,moderate rain,28.3667,129.4833,Shishime Hotel
682,Kendari,ID,83.21,broken clouds,-3.945,122.4989,Hotel Wixel
693,Cape Canaveral,US,82.98,clear sky,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
